Question,A,B,C,D,E,F
1. I plan to begin taking money from my investments in …,Less than 1 year,1 to 2 years,3 to 5 years,6 to 10 years,11 to 15 years,More than 15 years
"2. As I withdraw money from these investments, I plan to spend it over a period of ...",2 years or less,3 to 5 years,6 to 10 years,11 to 15 years,More than 15 years,
"3. When making a long-term investment, I plan to keep my money invested for ...",1 to 2 years,3 to 4 years,5 to 6 years,7 to 8 years,More than 8 years,
"4. From September 2008 through November 2008, stocks lost over 31%. If I owned a stock investment that lost about 31% in three months, I would ...",Sell all of the remaining investment,Sell some of the remaining investment,Hold on to the investment and sell nothing,Buy more of that investment,,
"5. Generally, I prefer an investment with little or no ups or downs in value, and I am willing to accept the lower returns these investments may generate.",I strongly disagree,I disagree,I somewhat agree,I agree,I strongly agree,
"6. When the market goes down, I tend to sell some of my riskier investments and put money in safer investments.",I strongly disagree,I disagree,I somewhat agree,I agree,I strongly agree,
"7. Based only on a brief conversation with a friend, coworker, or relative, I would invest in a mutual fund.",I strongly disagree,I disagree,I somewhat agree,I agree,I strongly agree,
"8. From September 2008 through October 2008, bonds lost nearly 4%. If I owned
a bond investment that lost almost 4% in two months, I would …",Sell all of the remaining investment,Sell some of the remaining investment,Hold on to the investment and sell nothing,Buy more of that investment,,
"9. The chart below shows the highest one-year loss and the highest one-year gain on three hypothetical investments of $10,000.* Given the potential gain or loss in any one year, I would invest my money in ...",Investment A (gain $593; loss $164),"Investment B (gain $1,921; loss $1,020)","Investment C (gain $4,229; loss $3,639)",,,
"10. My current and future income sources (such as salary, Social Security, pension) are ...",Very unstable,Unstable,Somewhat stable,Stable,Very stable,
"11. When it comes to investing in stock or bond mutual funds (or individual stocks or bonds), I would describe myself as ...",Very inexperienced,Somewhat inexperienced,Somewhat experienced,Experienced,Very experienced,
